DATE,p_saving_rate,mortgage_rate,IPI_Cement,PPI_Cement,permit,PPI_Concrete,population,new_private_house,emratio,income,new_private_hw_under,GDP,home_ow_rate,house_st,total_emp_cons,labor_percent,all_Const_Emp,monthly_supply,unemployed_rate,MSPUS,target
01-01-1987,9.4,9.204,123.7373,100.1,1690,4.703203926,241857,7974.739004,61,3820.2,1090,4722.156,63.9,1774,5007,65.4,722.3,6,6.6,97900,63.735
01-02-1987,8.2,9.0825,123.167,100.8,1689,4.703203926,242005,7502.244305,61.1,3845,1096,4722.156,63.9,1784,5038,65.5,724.2,6.2,6.6,97900,64.135
01-03-1987,8.1,9.035,122.5706,101.2,1704,4.703203926,242166,7106.570176,61.2,3863.8,1084,4722.156,63.9,1726,5039,65.5,727.9,6,6.6,97900,64.47
01-04-1987,4.1,9.8325,123.5345,100.8,1601,4.703203926,242338,7316.773819,61.3,3875.4,1079,4806.16,63.9,1614,5053,65.4,728.1,6,6.3,103400,64.973
01-05-1987,7.8,10.596,123.8454,101.2,1500,4.697749367,242516,7203.844501,61.6,3908.6,1070,4806.16,63.9,1628,5080,65.7,727.6,6.7,6.3,103400,65.547
01-06-1987,7.3,10.5375,123.3012,101.2,1522,4.697749367,242706,6806.040809,61.4,3919.7,1060,4806.16,63.9,1594,5086,65.5,728.5,6.9,6.2,103400,66.218
01-07-1987,7.1,10.278,127.3025,101.1,1516,4.697749367,242908,7060.576162,61.6,3942.1,1051,4884.555,64.1,1575,5092,65.6,732.1,6.7,6.1,106000,66.786
01-08-1987,6.8,10.33,122.6327,101.1,1511,4.697749367,243118,6750.269997,61.8,3978.6,1045,4884.555,64.1,1605,5102,65.7,729.2,6.8,6,106000,67.27
01-09-1987,7.2,10.8875,125.4097,101.1,1514,4.697749367,243335,6563.287443,61.6,3995.6,1048,4884.555,64.1,1695,5096,65.5,731.6,6.8,5.9,106000,67.624
01-10-1987,7.9,11.26,127.4145,101,1447,4.697749367,243543,6512.914619,61.8,4034.7,1041,5007.994,64.1,1515,5142,65.7,741.3,6.8,6,111500,67.903
01-11-1987,8.2,10.65,127.2895,100.9,1457,4.697749367,243724,6517.948756,61.9,4062.1,1042,5007.994,64.1,1656,5152,65.7,742.8,7,5.8,111500,68.093
01-12-1987,8.4,10.64,124.5768,100.6,1345,4.697749367,243895,6790.822401,62,4115.7,1018,5007.994,64.1,1400,5180,65.7,743.5,7.6,5.7,111500,68.344
01-01-1988,7.9,10.3825,111.7494,100.7,1244,4.697749367,244056,6397.323389,62,4128.2,1008,5073.372,63.8,1271,5094,65.8,745,7.5,5.7,110000,68.583
01-02-1988,8.4,9.8925,119.6235,101.5,1438,4.697749367,244205,5879.392293,62.1,4153,976,5073.372,63.8,1473,5162,65.9,747,6.6,5.7,110000,68.916
01-03-1988,8,9.93,124.8638,101.1,1525,4.722063937,244362,6628.876216,61.9,4178.3,994,5073.372,63.8,1532,5201,65.7,750.1,6.6,5.7,110000,69.325
01-04-1988,8.7,10.202,123.2387,101.6,1429,4.722063937,244528,6704.700896,62.2,4209.5,999,5190.036,63.8,1573,5227,65.8,754,6.4,5.4,110000,69.789
01-05-1988,8.3,10.455,125.8846,102.3,1444,4.722063937,244708,6042.880923,62,4225.9,987,5190.036,63.8,1421,5228,65.7,751.2,6.6,5.6,110000,70.409
01-06-1988,8.4,10.46,126.7927,101.7,1485,4.722063937,244914,6187.213554,62.3,4258.9,980,5190.036,63.8,1478,5261,65.8,757,6.2,5.4,110000,71.068
01-07-1988,8.6,10.432,120.8889,101.5,1439,4.723841716,245131,6262.107693,62.3,4298.8,971,5282.835,63.8,1467,5270,65.9,747.1,6.6,5.4,115000,71.686
01-08-1988,8.4,10.5975,119.923,101.4,1460,4.718498871,245352,6382.273799,62.4,4323,967,5282.835,63.8,1493,5268,66.1,744.5,6.6,5.6,115000,72.185
01-09-1988,8.8,10.48,121.2472,100.9,1436,4.722953222,245579,6282.106796,62.4,4352.5,958,5282.835,63.8,1492,5270,65.9,740.5,6.5,5.4,115000,72.574
01-10-1988,8.6,10.3025,120.9774,100.7,1516,4.722953222,245789,6272.10581,62.5,4391.1,953,5399.509,63.8,1522,5262,66,732.8,6,5.4,113900,72.822
01-11-1988,8.4,10.265,121.3659,100.6,1508,4.725616339,245970,5667.585355,62.7,4402.5,960,5399.509,63.8,1569,5273,66.2,731.7,7.2,5.3,113900,73.065
01-12-1988,8.3,10.612,127.0205,100.6,1501,4.725616339,246140,6362.217611,62.6,4438.6,955,5399.509,63.8,1563,5277,66.1,730.4,6.8,5.3,113900,73.279
01-01-1989,8.5,10.73,132.6783,100.7,1466,4.725616339,246301,6432.463868,62.9,4501.5,955,5511.253,64,1621,5289,66.5,734.9,6.2,5.4,118000,73.617
01-02-1989,8.9,10.645,114.8575,100.2,1383,4.739701079,246454,6613.729935,62.9,4529.6,947,5511.253,64,1425,5278,66.3,721.9,7.5,5.2,118000,73.968
01-03-1989,9.4,11.032,115.9009,100.2,1214,4.745801316,246626,5839.880731,62.9,4570.2,940,5511.253,64,1422,5260,66.3,707.1,8.2,5,118000,74.41
01-04-1989,8.3,11.05,119.4545,101.2,1376,4.813809051,246814,6337.163368,62.9,4582.5,922,5612.463,63.9,1339,5295,66.4,707.9,7.4,5.2,118900,74.868
01-05-1989,8,10.7725,118.1679,101.2,1381,4.813809051,247010,5874.450727,62.9,4579.4,913,5612.463,63.9,1331,5299,66.3,709.3,7.1,5.2,118900,75.296
01-06-1989,8.1,10.196,117.488,101.2,1322,4.813809051,247228,5369.550936,63,4602.2,913,5612.463,63.9,1397,5298,66.5,706.6,7.2,5.3,118900,75.696
01-07-1989,8.1,9.8825,117.972,101.2,1283,4.813809051,247458,5564.65696,63,4628.5,918,5695.365,63.9,1427,5317,66.5,708.9,6.1,5.2,120000,76.042
01-08-1989,7.5,9.985,123.8397,100.9,1334,4.813809051,247695,5775.777011,63.1,4639.1,901,5695.365,63.9,1332,5330,66.5,716.6,6.4,5.2,120000,76.273
01-09-1989,7.9,10.126,120.7576,101.6,1314,4.813809051,247942,5330.680902,62.8,4662.3,895,5695.365,63.9,1279,5323,66.4,710.1,7.1,5.3,120000,76.422
